example_index,image_id,part_category,source,baseline_prediction,baseline_true_probability,grid_row,grid_column,occluded_true_probability,prediction_delta,occluded_prediction
1,external_image_coil_spring_4525127,coil_spring,wikimedia_commons_open_license,brake_disc,0.03182901069521904,0,0,0.02822532132267952,0.0036036893725395203,brake_pad
1,external_image_coil_spring_4525127,coil_spring,wikimedia_commons_open_license,brake_disc,0.03182901069521904,0,1,0.00863008014857769,0.02319893054664135,brake_pad
1,external_image_coil_spring_4525127,coil_spring,wikimedia_commons_open_license,brake_disc,0.03182901069521904,0,2,0.2361619919538498,-0.20433298125863075,shock_absorber
1,external_image_coil_spring_4525127,coil_spring,wikimedia_commons_open_license,brake_disc,0.03182901069521904,1,0,0.04166776314377785,-0.009838752448558807,shock_absorber
1,external_image_coil_spring_4525127,coil_spring,wikimedia_commons_open_license,brake_disc,0.03182901069521904,1,1,0.058470468968153,-0.02664145827293396,brake_disc
1,external_image_coil_spring_4525127,coil_spring,wikimedia_commons_open_license,brake_disc,0.03182901069521904,1,2,0.031292546540498734,0.0005364641547203064,shock_absorber
1,external_image_coil_spring_4525127,coil_spring,wikimedia_commons_open_license,brake_disc,0.03182901069521904,2,0,0.030272800475358963,0.001556210219860077,brake_pad
1,external_image_coil_spring_4525127,coil_spring,wikimedia_commons_open_license,brake_disc,0.03182901069521904,2,1,0.039609797298908234,-0.007780786603689194,brake_pad
1,external_image_coil_spring_4525127,coil_spring,wikimedia_commons_open_license,brake_disc,0.03182901069521904,2,2,0.02531774714589119,0.00651126354932785,brake_disc
2,external_image_taillight_4518332,taillight,wikimedia_commons_open_license,shock_absorber,0.014582131989300251,0,0,0.03934653475880623,-0.024764402769505978,shock_absorber
2,external_image_taillight_4518332,taillight,wikimedia_commons_open_license,shock_absorber,0.014582131989300251,0,1,0.037178315222263336,-0.022596183232963085,shock_absorber
2,external_image_taillight_4518332,taillight,wikimedia_commons_open_license,shock_absorber,0.014582131989300251,0,2,0.05046948418021202,-0.03588735219091177,shock_absorber
2,external_image_taillight_4518332,taillight,wikimedia_commons_open_license,shock_absorber,0.014582131989300251,1,0,0.06124570965766907,-0.046663577668368816,shock_absorber
2,external_image_taillight_4518332,taillight,wikimedia_commons_open_license,shock_absorber,0.014582131989300251,1,1,0.016354026272892952,-0.001771894283592701,shock_absorber
