image_id,part_category,source,match_score,partial_match_score,mismatch_score,match_partial_margin,partial_mismatch_margin,three_way_ordered,strategy
air_filter_004_01,air_filter,generated_development,0.9779887348413467,0.4949909243732691,0.014972305856645107,0.48299781046807766,0.480018618516624,True,class_probability_expected_score
alternator_004_01,alternator,generated_development,0.9929313776083291,0.49776708520948887,0.00776057131588459,0.4951642923988402,0.4900065138936043,True,class_probability_expected_score
brake_disc_004_01,brake_disc,generated_development,0.9898981512524188,0.49987645633518696,0.010439922101795673,0.4900216949172318,0.4894365342333913,True,class_probability_expected_score
brake_pad_004_01,brake_pad,generated_development,0.9964072140865028,0.49854459473863244,0.004616625607013702,0.49786261934787035,0.49392796913161874,True,class_probability_expected_score
coil_spring_004_01,coil_spring,generated_development,0.9914688197895885,0.49785816110670567,0.014253658708184958,0.4936106586828828,0.4836045023985207,True,class_probability_expected_score
external_image_air_filter_475881,air_filter,wikimedia_commons_open_license,0.9967895047739148,0.49810643680393696,0.005694867228157818,0.49868306796997786,0.49241156957577914,True,class_probability_expected_score
external_image_alternator_12811841,alternator,wikimedia_commons_open_license,0.9933674749918282,0.49794383905828,0.013868995476514101,0.4954236359335482,0.4840748435817659,True,class_probability_expected_score
external_image_brake_disc_36552019,brake_disc,wikimedia_commons_open_license,0.010420347796753049,0.01530064595863223,0.009379964787513018,-0.004880298161879182,0.005920681171119213,False,class_probability_expected_score
external_image_brake_pad_2470132,brake_pad,wikimedia_commons_open_license,0.9834919320419431,0.49468631483614445,0.015831170603632927,0.4888056172057986,0.4788551442325115,True,class_probability_expected_score
external_image_coil_spring_4525127,coil_spring,wikimedia_commons_open_license,0.04851600155234337,0.037075258791446686,0.03269269224256277,0.011440742760896683,0.004382566548883915,True,class_probability_expected_score
external_image_headlight_2983638,headlight,wikimedia_commons_open_license,0.01246727118268609,0.01820489764213562,0.4949404327198863,-0.00573762645944953,-0.4767355350777507,False,class_probability_expected_score
external_image_oil_filter_1715177,oil_filter,wikimedia_commons_open_license,0.48852782882750034,0.9567528814077377,0.02970818802714348,-0.4682250525802374,0.9270446933805943,False,class_probability_expected_score
external_image_shock_absorber_551757,shock_absorber,wikimedia_commons_open_license,0.9202249757945538,0.49655403196811676,0.037631113082170486,0.423670943826437,0.4589229188859463,True,class_probability_expected_score
external_image_starter_1650046,starter,wikimedia_commons_open_license,0.9839860526844859,0.49876504950225353,0.013542263302952051,0.4852210031822324,0.4852227861993015,True,class_probability_expected_score
external_image_taillight_4518332,taillight,wikimedia_commons_open_license,0.009786920854821801,0.006699370918795466,0.01106988382525742,0.0030875499360263348,-0.004370512906461954,False,class_probability_expected_score
headlight_004_01,headlight,generated_development,0.9945081954356283,0.49988541565835476,0.0054884315468370914,0.49462277977727354,0.49439698411151767,True,class_probability_expected_score
oil_filter_004_01,oil_filter,generated_development,0.9945400008000433,0.499920638743788,0.004865734605118632,0.49461936205625534,0.49505490413866937,True,class_probability_expected_score
shock_absorber_004_01,shock_absorber,generated_development,0.9957021079026163,0.49968540109694004,0.00434382539242506,0.4960167068056762,0.495341575704515,True,class_probability_expected_score
starter_004_01,starter,generated_development,0.9949854612350464,0.49971339711919427,0.005245660664513707,0.4952720641158521,0.49446773645468056,True,class_probability_expected_score
taillight_004_01,taillight,generated_development,0.9941448518075049,0.4984533656388521,0.009342503035441041,0.4956914861686528,0.4891108626034111,True,class_probability_expected_score
