epoch,loss,accuracy,val_loss,val_accuracy
1,1.0992818800608317,0.31,1.0987868467966715,0.3333333333333333
2,1.0999077388975356,0.30333333333333334,1.0987547397613526,0.3333333333333333
3,1.0989567613601685,0.3277777777777778,1.0988519589106243,0.3333333333333333
4,1.0994600253634983,0.3333333333333333,1.0986915667851767,0.3333333333333333
5,1.0984918472501968,0.3511111111111111,1.098780353864034,0.3333333333333333
6,1.0995569112565782,0.3244444444444444,1.098820932706197,0.3333333333333333
7,1.0995708073510064,0.32666666666666666,1.0987115939458212,0.3333333333333333
8,1.0999283112419975,0.3022222222222222,1.098663608233134,0.3333333333333333
9,1.0993988169564142,0.32555555555555554,1.0986896594365438,0.3333333333333333
10,1.0991424830754597,0.31666666666666665,1.0987059036890665,0.3333333333333333
11,1.0982667075263128,0.3488888888888889,1.0986132860183715,0.3333333333333333
12,1.099014794031779,0.3477777777777778,1.0986729542414346,0.3333333333333333
13,1.0990642971462674,0.3233333333333333,1.0986435651779174,0.3333333333333333
14,1.0989723004235161,0.3511111111111111,1.0986559947331747,0.3333333333333333
15,1.0985265191396076,0.3411111111111111,1.0986666440963746,0.3333333333333333
16,1.098820193608602,0.3244444444444444,1.0986320892969768,0.3333333333333333
17,1.0987674956851536,0.3477777777777778,1.0986246109008788,0.3333333333333333
18,1.0981412686241998,0.3477777777777778,1.098652466138204,0.3333333333333333
