epoch,loss,accuracy,val_loss,val_accuracy
1,1.1031409857008192,0.3333333333333333,1.100029182434082,0.3333333333333333
2,1.100554477903578,0.3333333333333333,1.0995094935099283,0.3333333333333333
3,1.0999414258533053,0.3055555555555556,1.0987682104110719,0.3333333333333333
4,1.0993198696772257,0.3244444444444444,1.0988179922103882,0.3333333333333333
5,1.0994829098383585,0.3333333333333333,1.098776880900065,0.3333333333333333
6,1.099466126230028,0.3333333333333333,1.099014973640442,0.3333333333333333
7,1.0992594946755303,0.3333333333333333,1.0987958192825318,0.3333333333333333
8,1.098968309296502,0.32555555555555554,1.0986616532007853,0.3333333333333333
9,1.0989785220887927,0.33111111111111113,1.098676570256551,0.3333333333333333
10,1.0990271366967095,0.3211111111111111,1.098676117261251,0.3333333333333333
11,1.0990708589553833,0.3111111111111111,1.0986263593037924,0.3333333333333333
12,1.0991020525826347,0.33111111111111113,1.0987228155136108,0.3333333333333333
13,1.0991206243303087,0.32222222222222224,1.0986646254857382,0.3333333333333333
14,1.0989969576729668,0.33,1.0986780087153116,0.3333333333333333
15,1.0991114526324801,0.3333333333333333,1.098693299293518,0.3333333333333333
16,1.0989233080546061,0.3322222222222222,1.0986825863520304,0.3333333333333333
17,1.0989256970087686,0.3211111111111111,1.0986209789911905,0.3333333333333333
18,1.0989856582217747,0.3088888888888889,1.098622997601827,0.3333333333333333
