epoch,accuracy,loss,val_accuracy,val_loss
1,0.1666666716337204,1.1084885597229004,0.3333333432674408,1.0988394021987915
2,0.25,1.100386381149292,0.4166666567325592,1.0985311269760132
3,0.3055555522441864,1.1009013652801514,0.4166666567325592,1.098385214805603
4,0.3611111044883728,1.0977028608322144,0.3333333432674408,1.0985349416732788
5,0.25,1.1004232168197632,0.3333333432674408,1.0987259149551392
6,0.3333333432674408,1.0973726511001587,0.25,1.0987944602966309
7,0.4722222089767456,1.0934016704559326,0.1666666716337204,1.0990968942642212
8,0.25,1.0997499227523804,0.25,1.0991522073745728
9,0.4166666567325592,1.094113826751709,0.3333333432674408,1.0985130071640015
10,0.3611111044883728,1.0925712585449219,0.3333333432674408,1.0984936952590942
11,0.4166666567325592,1.0909028053283691,0.5,1.0982763767242432
12,0.4444444477558136,1.0884402990341187,0.5,1.0984798669815063
13,0.5277777910232544,1.0846788883209229,0.5,1.0985411405563354
14,0.4722222089767456,1.0807874202728271,0.5,1.098427176475525
15,0.4444444477558136,1.0770591497421265,0.5,1.0980079174041748
16,0.5,1.0717525482177734,0.4166666567325592,1.0967170000076294
17,0.5277777910232544,1.0641405582427979,0.5,1.0966105461120605
18,0.5277777910232544,1.0557219982147217,0.5,1.0960222482681274
19,0.4722222089767456,1.0593597888946533,0.5,1.0951557159423828
20,0.5,1.0539668798446655,0.5,1.0947507619857788
21,0.5,1.033414363861084,0.1666666716337204,1.09348726272583
22,0.5,1.0451931953430176,0.3333333432674408,1.0950493812561035
23,0.4166666567325592,1.0440495014190674,0.1666666716337204,1.0947455167770386
24,0.5277777910232544,1.010373592376709,0.1666666716337204,1.0939513444900513
25,0.5833333134651184,0.9972949624061584,0.1666666716337204,1.0950759649276733
26,0.5555555820465088,0.9979469776153564,0.1666666716337204,1.0977615118026733
27,0.4166666567325592,0.9950094223022461,0.3333333432674408,1.096478819847107
28,0.5833333134651184,0.9888226389884949,0.25,1.0977331399917603
29,0.5277777910232544,0.9622204303741455,0.25,1.0991016626358032
30,0.5277777910232544,0.9512953162193298,0.25,1.0989552736282349
31,0.5277777910232544,0.944848895072937,0.1666666716337204,1.106352686882019
