candidate_id,project_category,image_group_id,split,split_rank_within_category,repository_relative_path,sha256,split_seed,split_score,source_dataset_slug,source_dataset_root,source_split_ignored,test_locked,split_policy
kaggle_5dcba558fd83fc8f,alternator,kaggle50:alternator:kaggle_5dcba558fd83fc8f,train,1,data/images/dataset_v3/train/alternator/alternator_train_001_5dcba558fd83fc8f.jpg,5dcba558fd83fc8f34e69b5fe3f48ff171b97883c293a99d59f116b4e4373445,dataset-v3-split-v1,0031498f448ccfe23cf42cac12674ff3a5869afaad02040bd664f07321c82060,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_7f558e5c9dca70ab,alternator,kaggle50:alternator:kaggle_7f558e5c9dca70ab,train,2,data/images/dataset_v3/train/alternator/alternator_train_002_7f558e5c9dca70ab.jpg,7f558e5c9dca70ab83ca2b294efc0545d36add67e624c4e6e07f08497a2dbb81,dataset-v3-split-v1,05708e99ab709184634d859cdca08af69d4d24fb9dc8e62e178324222fe5d8f6,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_42410dfafcdf6a70,alternator,kaggle50:alternator:kaggle_42410dfafcdf6a70,train,3,data/images/dataset_v3/train/alternator/alternator_train_003_42410dfafcdf6a70.jpg,42410dfafcdf6a70ffa16a0eba4d37a54953a6cf0370dae7d2ab4df0bfaa9d8f,dataset-v3-split-v1,06fbbfcd7a3837de53bca3b80c973f87c00f5df8ac4f1d1a083b79b55dae7c90,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_fa66e000d762950c,alternator,kaggle50:alternator:kaggle_fa66e000d762950c,train,4,data/images/dataset_v3/train/alternator/alternator_train_004_fa66e000d762950c.jpg,fa66e000d762950c06833775c5abe127e4f200580a37f3aac797d2acbdc89672,dataset-v3-split-v1,0cbe513c82323e2d30a1863a5f57f7ce3c15d3c62a0145c7f207c7bad38f5a9e,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_20f479228818e7f1,alternator,kaggle50:alternator:kaggle_20f479228818e7f1,train,5,data/images/dataset_v3/train/alternator/alternator_train_005_20f479228818e7f1.jpg,20f479228818e7f14538d12b90e957abb9a12a6e9a40fea680fce8b591fa4eac,dataset-v3-split-v1,0dbb48acf8d05043760e2f380387e7eb757f5c45fb8a4c6d4ec78eba490396fb,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_5748436a19b73abd,alternator,kaggle50:alternator:kaggle_5748436a19b73abd,train,6,data/images/dataset_v3/train/alternator/alternator_train_006_5748436a19b73abd.jpg,5748436a19b73abdbac34ccdb9cae889b4b4d752403c1f8135543673259a1d89,dataset-v3-split-v1,0e182b042774e6025f5d8d7ba152bdf4f7a48bb84d76b892150ff1a9d068660a,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_719e0fe4675827d7,alternator,kaggle50:alternator:kaggle_719e0fe4675827d7,train,7,data/images/dataset_v3/train/alternator/alternator_train_007_719e0fe4675827d7.jpg,719e0fe4675827d7086e4ed467db689e37b79096b6208c732d5c172c7b0c1dc1,dataset-v3-split-v1,0e90cd2449855d7cd5f400ada225e35cf1e1738dc90b6f47644b6d26ded82440,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_a7732e0e1aacccba,alternator,kaggle50:alternator:kaggle_a7732e0e1aacccba,train,8,data/images/dataset_v3/train/alternator/alternator_train_008_a7732e0e1aacccba.jpg,a7732e0e1aacccba6fb14deeaa2b9294192250ed4f61ac1543e769f1eb72e778,dataset-v3-split-v1,100ce0e838ad77a96c963bcfe33ae4236a9a024dfd0d0a48f5f0beaa63fc39e3,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_241f281ebe9df49a,alternator,kaggle50:alternator:kaggle_241f281ebe9df49a,train,9,data/images/dataset_v3/train/alternator/alternator_train_009_241f281ebe9df49a.jpg,241f281ebe9df49af20781f0fb0b5f192af84f03e996df28f5af7e28a9417a42,dataset-v3-split-v1,12f183ca39d8991348f872482848c7238f8aa4ab7c9d1439ce3c16a8faa85cc1,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_35ba271850d98fa3,alternator,kaggle50:alternator:kaggle_35ba271850d98fa3,train,10,data/images/dataset_v3/train/alternator/alternator_train_010_35ba271850d98fa3.jpg,35ba271850d98fa3658208b93f270d8d709722023a37bed3947f689c14f776c2,dataset-v3-split-v1,13c3982d65825a8f17ef4e3b91fd071f52f51170a5dee1481388ccab7e0798fa,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_449df7b98af905f8,alternator,kaggle50:alternator:kaggle_449df7b98af905f8,train,11,data/images/dataset_v3/train/alternator/alternator_train_011_449df7b98af905f8.jpg,449df7b98af905f810895f326cfa7ea551db7cb0eabaa81e5c66d68bebdc41c6,dataset-v3-split-v1,143dc0d434f05041583efbf69100946287a89c6c90d4909af6ccc6485561c296,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_42625bcb413faf53,alternator,kaggle50:alternator:kaggle_42625bcb413faf53,train,12,data/images/dataset_v3/train/alternator/alternator_train_012_42625bcb413faf53.jpg,42625bcb413faf53f707137faf94cc081af0c2a60f333f483e0c75389c16c968,dataset-v3-split-v1,17fcf0b0d6acf11bfd8bd3fd9b8c76a6a40747b843ae358f777a1b68ceb92fd6,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_b554d918ab59e306,alternator,kaggle50:alternator:kaggle_b554d918ab59e306,train,13,data/images/dataset_v3/train/alternator/alternator_train_013_b554d918ab59e306.jpg,b554d918ab59e3060a45e30129d7bcbd515a6d115abc59a02434b909e52d0a78,dataset-v3-split-v1,23e5432dfc6aaa17fbdf6e91201139def1e8363ad20c8300ea55178f281f3c6b,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_b89d0cc66961d4d9,alternator,kaggle50:alternator:kaggle_b89d0cc66961d4d9,train,14,data/images/dataset_v3/train/alternator/alternator_train_014_b89d0cc66961d4d9.jpg,b89d0cc66961d4d933d6f42847b13a3429934ab7eeb6f465d57b4213bf36b778,dataset-v3-split-v1,2bf5317afbae774c2c16d2fadef2cc2a78c2dcf1b1c7c75f49e876c3bff94e19,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_65be9c68f4e2abc3,alternator,kaggle50:alternator:kaggle_65be9c68f4e2abc3,train,15,data/images/dataset_v3/train/alternator/alternator_train_015_65be9c68f4e2abc3.jpg,65be9c68f4e2abc3b7d334796b1cf8277cd094efff35a8fdcc6aa251d8e51167,dataset-v3-split-v1,2f1fa7ff487cca18fa467f7236a8937d8ef721a1dd23b1c86e805675b753fdcb,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_f62af73819dd97c4,alternator,kaggle50:alternator:kaggle_f62af73819dd97c4,train,16,data/images/dataset_v3/train/alternator/alternator_train_016_f62af73819dd97c4.jpg,f62af73819dd97c4cbbd49d1f44945f44182074172f0ef1921de753aff1f684e,dataset-v3-split-v1,2ffc732169e551f17bd7dac5fea26fb1aaec223d1edd02924b45d8ced8fba9a4,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
kaggle_5a06b4aa8a25e559,alternator,kaggle50:alternator:kaggle_5a06b4aa8a25e559,train,17,data/images/dataset_v3/train/alternator/alternator_train_017_5a06b4aa8a25e559.jpg,5a06b4aa8a25e5593d41d66bdf7e571e0137af6ba6b3d2a38e31225db97ce9b9,dataset-v3-split-v1,30bb869b233873a90f91fbe89557063295b8c164aabddbbf1cf60d483dacc84d,gpiosenka/car-parts-40-classes,car parts 50,train,False,deterministic_group_aware_60_10_10_original_source_split_ignored
